,drop,alt,target,choice,drop_x,drop_y,drop_z,orientation,model_train_steps
0,dumbbell,octahedron,pentagon,octahedron,-0.5252136113705647,0.11474846178256065,1.418739919908055,"(-0.08174269276564317, -0.035548290815460626, 0.12055829705216878, 0.9886961860002303)",420000
1,pipe,octahedron,cone,octahedron,-0.2948577573398312,0.3536352199278777,0.10029937937784345,"(0.30297474648309486, 0.2881729536353841, 0.1102010462626315, 0.9016753191638244)",420000
2,octahedron,pyramid,pentagon,pyramid,-0.9767238816056224,0.3921098054743869,1.40732938718187,"(0.2520516410578219, -0.12161177132990202, -0.4172718575505191, 0.8646182650224328)",420000
3,dumbbell,pyramid,pipe,pipe,-0.9695846562661911,-1.0146068862851,0.7715091063543078,"(-0.05677808896095655, 0.01582435587770835, 0.38723930016612795, 0.9200932359178849)",420000
4,pyramid,sphere,triangular_prism,sphere,0.12578831579249716,0.5287958371183512,0.2913172738819195,"(0.08274700407493492, -0.17025513848483645, -0.3316626697083269, 0.9242110119762029)",420000
5,torus,dumbbell,cone,cone,0.5319798017665088,-0.3082962113228974,0.40805841240587276,"(0.37120232328689357, 0.05508088224890158, -0.3506075432881949, 0.8580496968046267)",420000
6,torus,octahedron,bowl,bowl,-0.7766889657297772,0.47267842772362845,0.2836270606205503,"(0.49858083747692683, -0.1547419040922079, 0.5070840550695861, 0.685811820190429)",420000
7,sphere,cone,pipe,cone,0.3225918230032617,0.7962404963716327,0.36831110452298516,"(-0.02746052582393192, 0.1993618084951801, -0.10873934062261309, 0.9734867973608906)",420000
8,triangular_prism,cone,pentagon,cone,0.31411881918302037,-0.2828386858039953,0.14182171121739784,"(0.2767985437096557, 0.35693788818461203, -0.44908983335089325, 0.7709061108587674)",420000
9,sphere,cone,pipe,pipe,-0.4953780058114722,0.3317151954030667,0.6001924183212071,"(0.10216199544838818, 0.07351775305759088, -0.26446086587937795, 0.9561477485669756)",420000
10,octahedron,pyramid,pentagon,pentagon,-0.7453695168231843,0.1334259582603032,1.4100383575980007,"(0.11549648698850934, 0.2078426816070426, 0.3170482693200142, 0.9181189335357868)",420000
11,pyramid,dumbbell,torus,torus,-0.13749750464368418,-0.43954906226959667,0.3645032378576719,"(-0.5337240222267589, -0.23193049779018257, -0.4753420561727791, 0.6598460744191199)",420000
12,cone,sphere,triangular_prism,triangular_prism,0.5929719702951991,-0.798575419974712,0.0658063904190666,"(0.16657146723385088, -0.25173129421699214, 0.09759013620806598, 0.9483467019662648)",420000
13,cone,sphere,triangular_prism,triangular_prism,0.3244021711066576,0.5467728719675801,0.21095160040759514,"(0.43828462124964157, 0.054494538580974805, -0.3641782392779392, 0.8199458189888676)",420000
14,torus,octahedron,bowl,octahedron,-0.743693809152449,1.0228442516624094,0.18522823841361746,"(-0.3120086649762556, -0.10564348142875522, 0.33965020191766876, 0.8809811508475274)",420000
15,pentagon,sphere,bowl,sphere,-0.9863359367851311,0.3325673608994474,0.6927989363766668,"(-0.26592914216545943, 0.019630505644147405, 0.26313206926506066, 0.9271773555903883)",420000
16,pentagon,sphere,bowl,sphere,-0.5532532357906043,0.32228153880181887,0.8184877520175594,"(0.14034444692997042, 0.006206189340584972, -0.10375248189282427, 0.9846320845528388)",420000
17,dumbbell,pyramid,pipe,pyramid,0.07661569752034814,-1.0148392826650825,1.38585731063358,"(0.0820183850756221, -0.285202687834772, -0.24052968089527652, 0.924163342688848)",420000
18,pentagon,pyramid,pipe,pyramid,-1.0404173816641997,1.0853368465495548,1.2062008715230605,"(0.2642857398924305, -0.12466620802788897, 0.13824183641766125, 0.9463089236234277)",420000
19,torus,dumbbell,cone,dumbbell,-0.7680171205635055,0.41983732389123596,0.2435598417351896,"(0.2874981614121325, 0.023166433707970842, -0.11534376828637681, 0.9505282419009948)",420000
20,pipe,dumbbell,torus,dumbbell,-0.9899167781338071,0.3594884268753661,0.5167749187884427,"(0.19620148683209124, -0.5162765754397347, -0.18905085541384964, 0.8119256420906956)",420000
21,cone,sphere,triangular_prism,sphere,-0.10299962600403409,0.7580372975984963,0.446581743052817,"(0.14912559251833923, -0.3973255514570459, 0.2863313099369278, 0.859015916479556)",420000
22,dumbbell,octahedron,pentagon,octahedron,-0.7537705659675037,-0.5581041663001844,0.3962034872122577,"(0.3696095359714693, 0.18213727634035742, -0.08465849791859031, 0.9072197871609942)",420000
23,octahedron,pyramid,pentagon,pentagon,-0.2800869425433061,-0.095520069527151,1.11865644225386,"(0.3163343226016318, 0.201171253878249, -0.45751321813759, 0.8063153094085501)",420000
24,torus,dumbbell,cone,dumbbell,-1.005760431500458,1.032556698093052,0.08983624084690012,"(0.027918829732701468, -0.19907150395685355, 0.4211651483536003, 0.8844269291869186)",420000
25,torus,octahedron,bowl,bowl,0.545219082701837,-0.6066287904967693,0.28433176335243027,"(-0.2133537813683279, 0.2500883983772494, -0.3188983259932309, 0.8889543377764985)",420000
26,triangular_prism,cone,pentagon,cone,-0.8020753353819645,-0.7945526048154566,0.7485062768278663,"(-0.23983978962992145, 0.3634219941437009, 0.337539532807618, 0.8345468191029823)",420000
27,pentagon,pyramid,pipe,pipe,-0.7811178553580949,0.5388199013598024,0.125100628722702,"(-0.501456841870414, -0.2850819686242236, -0.3847611305906342, 0.7205748949923976)",420000
28,triangular_prism,dumbbell,bowl,dumbbell,-1.0154635053724188,-0.9943159709710914,0.707040982732287,"(-0.2901904745283545, 0.022932100469393483, -0.2504411262214298, 0.9233324696760166)",420000
29,octahedron,sphere,pipe,sphere,0.1168409424282873,-0.759185201170345,1.4116375752344095,"(0.12317529887355715, 0.3531190242291084, 0.15860035602653325, 0.9137727986447994)",420000
30,torus,octahedron,bowl,bowl,-0.758986625764889,-0.3639049475096747,0.8231570157590462,"(0.44704651247907645, 0.030138865652056347, -0.4846586467876348, 0.7512303645031135)",420000
31,octahedron,pyramid,pentagon,pentagon,-0.3100178723511854,-0.5380728680404028,0.09515688819795103,"(0.3207319182153079, -0.1565257303309008, 0.2209279226865343, 0.9076461785077486)",420000
32,pyramid,dumbbell,torus,torus,-0.8248690930129653,-0.636864263131383,0.41012317990042085,"(0.24013060524842894, -0.06351164284411508, -0.37120692337813055, 0.8947116762859461)",420000
33,cone,sphere,triangular_prism,triangular_prism,-0.5224722725920783,-0.7532506768990093,0.5890899124473908,"(-0.24002019744787306, -0.43805224389893266, 0.03159683614057, 0.8657379374719003)",420000
34,octahedron,pyramid,pentagon,pentagon,0.17626240397172743,1.0173217832598933,0.866773007084762,"(0.10456246590593087, 0.4690267456146729, -0.34927436222480523, 0.8044178158856475)",420000
35,octahedron,pyramid,pentagon,pyramid,0.7499279837577028,0.3682385563633097,0.08341055349801228,"(0.07107960904545645, 0.3711700679852517, -0.13472526140050897, 0.91598557507765)",420000
36,pipe,dumbbell,torus,dumbbell,1.0097439979575393,1.087643997985979,0.11660997362646265,"(0.4276694221640179, -0.16597053653790525, -0.21732369565748288, 0.8615817184997536)",420000
37,cone,sphere,triangular_prism,triangular_prism,-0.9442978664177117,-0.0581936650304864,0.6840568055797832,"(0.41533861264958183, 0.21138280841074042, -0.08261484342772982, 0.880900637300326)",420000
38,pyramid,sphere,triangular_prism,triangular_prism,-0.8098225103624827,0.09659288128209885,0.5922815921737277,"(-0.2247187398569019, -0.3769454436767473, -0.10672602515558281, 0.892201309124211)",420000
39,octahedron,pyramid,pentagon,pyramid,-0.14561719223253267,0.579848325531372,0.5232116671347785,"(0.1045535127841528, 0.3678628128123253, -0.03639278780228766, 0.9232665264755762)",420000
40,dumbbell,octahedron,pentagon,pentagon,-0.7412126533304908,-0.07865795753906277,0.8343279626636307,"(-0.40109566503056504, -0.09003476276400697, 0.381224637433576, 0.8280602543301763)",420000
41,dumbbell,octahedron,pentagon,pentagon,0.5853704602120079,-0.5583335757709317,0.6728573984776682,"(-0.09122571314227845, 0.10340472318902169, -0.18360033590747216, 0.9732811768130255)",420000
42,octahedron,pyramid,pentagon,pyramid,-0.3227653213090283,-0.3444558498105561,0.6744731698023011,"(0.36193947356199746, 0.28925160117834664, -0.43029895438839394, 0.7747103578407105)",420000
43,pipe,octahedron,cone,cone,-0.3105926254966914,0.3130114316554935,0.25488102925421663,"(-0.44836947380779535, -0.21100318874788354, -0.46980132781298883, 0.7305677119067736)",420000
44,dumbbell,pyramid,pipe,pipe,-0.5432188244874516,0.11928560459449238,0.28404604907095155,"(0.013565980254753215, 0.23926722463872896, -0.028181442388199564, 0.9704498779938757)",420000
45,triangular_prism,cone,pentagon,pentagon,0.5530098927916866,0.5688181932242803,0.21500711544560583,"(-0.052084896131290685, -0.282485462720186, -0.4308482184069685, 0.8554875449954232)",420000
46,pentagon,sphere,bowl,bowl,-1.0342658833338307,0.2465812048920828,0.7836007765255141,"(0.3877522610799062, 0.04999507172245941, 0.09607918662962696, 0.9153783189083494)",420000
47,sphere,pentagon,bowl,pentagon,0.375714571121562,-0.5483897273297018,0.20693608515966888,"(0.4208559282927529, 0.24702685687962628, -0.028380898788191954, 0.872383255332765)",420000
48,triangular_prism,dumbbell,bowl,dumbbell,-0.7848048006961297,0.8180555425192922,0.12533109283270422,"(-0.06050198552200473, -0.4304862771061908, -0.16504936073549947, 0.8853133815163702)",420000
49,pyramid,dumbbell,torus,torus,0.336359010078607,0.9876603156895583,0.9941542202797192,"(-0.29210533357481155, -0.14521112823606241, 0.1661093259815782, 0.9305890038870563)",420000
50,octahedron,pyramid,pentagon,pyramid,-1.036088715488418,1.006341572037528,1.2854204522687316,"(0.1642799527176803, 0.45628297560493325, -0.024768575085536263, 0.8741878865532379)",420000
51,sphere,pentagon,bowl,pentagon,-0.7131508646097048,1.0537622639142346,0.29740483089950653,"(0.21861051124396164, 0.22538828759084703, -0.21638043456405723, 0.9244398691793799)",420000
52,pentagon,sphere,bowl,bowl,-0.5002627853608367,-0.6549667854211663,0.4173475618821495,"(0.28121986479109584, -0.31704204863854557, -0.04731192203532743, 0.9045226968270476)",420000
53,pentagon,sphere,bowl,bowl,0.32860987116751045,-0.19811527337772528,0.46877819725786646,"(-0.09382724461299773, -0.11357096852612007, 0.43160896906140417, 0.8899504374413912)",420000
54,bowl,triangular_prism,pyramid,triangular_prism,-0.7416900444997772,0.16314720478417932,0.5984747053803621,"(0.1285523340478507, 0.03954384895141872, 0.452756721752759, 0.8814317513731009)",420000
55,pipe,octahedron,cone,cone,-0.9863771477042382,-1.0042771914406892,0.8341102900560501,"(0.3968694054560537, 0.26491224082718295, 0.32234749216015346, 0.8175623976009041)",420000
56,torus,octahedron,bowl,octahedron,0.3766286097548936,0.14033720930800764,0.3847044124773125,"(0.3590689405514917, -0.2394905356674556, 0.28096155697557174, 0.8571898172276704)",420000
57,octahedron,pyramid,pentagon,pyramid,-0.15890725783714535,-0.3151020833784327,0.3221686877484638,"(0.4542839685714616, 0.18200385410980172, -0.3428833384501253, 0.8018302122029565)",420000
58,cone,sphere,triangular_prism,sphere,-0.7767057825646355,-0.547310533235923,0.7615363116872693,"(0.3680349676011195, -0.32017038273625614, 0.4624128127173037, 0.7404158151175825)",420000
59,pipe,dumbbell,torus,dumbbell,0.7739709645064777,0.15689661177965475,0.08078326458251868,"(-0.4927959376406918, 0.22676734642604984, 0.062448015776579616, 0.83775233796468)",420000
60,octahedron,sphere,pipe,pipe,0.9823441310535389,-0.9940208625980932,0.5867374281726631,"(-0.06963911961361652, 0.13277963111493082, 0.16071252230926858, 0.9755467429874471)",420000
61,pipe,dumbbell,torus,dumbbell,-1.0034826375749715,0.8523663910880457,0.17806775243530315,"(-0.35904005938455524, 0.149897594940275, -0.03088275198955842, 0.9206884393853373)",420000
62,pipe,dumbbell,torus,torus,-0.9676896251381424,0.7765135062462271,0.2157255337052049,"(0.08505158471547225, -0.2225865916033574, 0.24663356982634965, 0.939357929338172)",420000
63,sphere,cone,pipe,cone,-0.8056022689298428,-0.2985190664025853,0.5917353012858325,"(-0.02606443742595255, -0.23889291682523348, 0.16941896482470556, 0.9557970672428985)",420000
64,pyramid,dumbbell,torus,dumbbell,-1.025653481263472,-0.5405875121840301,0.3745047450265696,"(0.11457305808661605, 0.23197341587713963, 0.20837426102063256, 0.9432080979460883)",420000
65,triangular_prism,cone,pentagon,cone,-0.36318539766836344,0.10866020262900525,0.2639952674936144,"(-0.27845819660200405, 0.3573455724586059, 0.2796639338039401, 0.8464946891261022)",420000
66,pentagon,sphere,bowl,sphere,0.08897635352513668,-0.7535710625675308,1.242394028426794,"(-0.4671262412486089, -0.27473964359634434, -0.27258754824659326, 0.7949888247732866)",420000
67,triangular_prism,cone,pentagon,pentagon,-0.04677421505438048,-0.7602043045639693,1.1091689045148927,"(-0.23696001116459303, 0.15166048770736643, -0.2700310684037311, 0.9208323797923155)",420000
68,triangular_prism,dumbbell,bowl,bowl,-1.0087503151557389,0.446532408263959,0.4066626295214349,"(-0.03598516590376502, -0.10401425181106454, 0.3099507907314873, 0.9443604240860524)",420000
69,triangular_prism,cone,pentagon,cone,-1.016952390398383,-0.278193726856597,0.709956350292795,"(-0.24166652624573381, -0.2701337658312425, -0.1979727254645094, 0.9107314854677561)",420000
70,pyramid,dumbbell,torus,dumbbell,-0.757330524895059,-0.3128742179302954,1.28487604686353,"(0.2864496123588831, -0.36122548830971746, 0.22339840555980997, 0.8588107582978839)",420000
71,pentagon,pyramid,pipe,pipe,0.10870221205983932,0.0987075082274558,0.1392995096511463,"(0.2544435510211713, -0.20466469228232884, 0.22854193616641852, 0.9171365364491925)",420000
72,triangular_prism,dumbbell,bowl,dumbbell,-1.0050874981174893,-0.9160954883800871,0.5396967002486774,"(0.4202334592780689, -0.15570442838422852, -0.2946937306228626, 0.8439879002783796)",420000
73,sphere,pentagon,bowl,bowl,-0.1599395788716051,-1.0066989647581308,0.4467929100432232,"(0.047188547506770845, 0.2192323190726155, -0.22069786628461052, 0.9492117166763505)",420000
74,octahedron,sphere,pipe,sphere,0.1198529090938168,-0.12398639963506027,0.5402099087877869,"(0.11716611059774809, -0.057658249337257945, 0.1617270740392147, 0.9781574425078374)",420000
75,octahedron,pyramid,pentagon,pentagon,-0.27796106377055074,-0.5008052518743986,1.4520630270862767,"(0.37962813308425775, 0.29462057342561804, 0.24519421650916037, 0.8419982152450087)",420000
76,dumbbell,pyramid,pipe,pipe,0.9786835847692719,-0.5469997043625925,0.20153192138753895,"(-0.12853487222652973, 0.025328276168260087, 0.31268827553037437, 0.9407780330098565)",420000
77,pipe,octahedron,cone,cone,0.8144957895705115,-0.958555995408204,0.5545334572851566,"(-0.15758455288077272, 0.4105629370538662, -0.16747634369172473, 0.8823586899411833)",420000
78,pipe,dumbbell,torus,torus,-0.7176635860126634,-0.8879800866292982,0.8478159026850849,"(-0.20149525916241062, -0.12655742621942848, -0.4302320257176077, 0.8707946270221875)",420000
79,torus,octahedron,bowl,bowl,-0.1101492890878448,0.441565871794588,0.40775443641243647,"(0.24172964114738366, -0.29803289474488615, 0.03084144844973723, 0.9229257712829688)",420000
80,octahedron,pyramid,pentagon,pentagon,0.6222534355390429,0.6098959487046591,0.4381513065802323,"(-0.45485276295323296, 0.030075287036109205, -0.46223961970456984, 0.7606174959326667)",420000
81,triangular_prism,cone,pentagon,cone,-0.3386293017352517,-0.8117425810272372,1.038420655953833,"(-0.3060364768861992, 0.08518071665439786, -0.028018344647618775, 0.9477873668120573)",420000
82,bowl,triangular_prism,torus,torus,-0.5411593076657436,-0.21943384582992873,0.8868332025985982,"(0.4649147467716238, 0.1606505533768589, -0.1984885975791502, 0.8477310626401796)",420000
83,dumbbell,pyramid,pipe,pipe,0.7709316901366892,0.5488775776211887,0.23548331844032652,"(0.4835682319895251, -0.20206691005018454, 0.38249499681113525, 0.7609390949923294)",420000
84,octahedron,sphere,pipe,sphere,0.5771315231342525,-0.9951118108019025,0.47532067798374583,"(0.17939685542845973, 0.0012120476277269504, -0.3179167460769201, 0.9309909998312506)",420000
85,octahedron,sphere,pipe,sphere,-0.3544923614089028,-0.08559890094407677,0.8571868666869977,"(0.23978785479904105, -0.507371972310113, -0.15275628676579028, 0.8134746359036327)",420000
86,bowl,triangular_prism,pyramid,triangular_prism,0.7435299933971318,0.3062807521051657,0.18056021656913038,"(-0.005644650892971403, 0.3745041987697516, 0.26414097001839904, 0.8887881024056645)",420000
87,pyramid,sphere,triangular_prism,sphere,-0.09816752065727383,-0.7709006084299618,1.1372844556831958,"(-0.12158797432982471, 0.45033349274608253, -0.3068496213524583, 0.8296140184961539)",420000
88,pentagon,pyramid,pipe,pyramid,-0.7425880089693258,0.3594309474997368,0.2211995635507824,"(0.13866038810819287, 0.4749754803353597, 0.23283789502153798, 0.8372324076932396)",420000
89,pentagon,pyramid,pipe,pipe,-1.0052150310113883,-0.32461283894553095,0.42928093108875093,"(-0.42668814516344644, -0.20567479333478217, -0.12003508888766524, 0.8724830563394355)",420000
90,pipe,dumbbell,torus,torus,-0.13955596664131192,-1.0848577731286322,1.2711472494249003,"(-0.09819879204236606, 0.3516688593673259, 0.03356676325886929, 0.9303543857031186)",420000
91,pyramid,dumbbell,torus,dumbbell,-0.9886441781062159,-0.032832455977021544,0.7631022351348392,"(0.27882646308859854, -0.33670947793253453, -0.24095727786096588, 0.8664999256767053)",420000
92,triangular_prism,dumbbell,bowl,dumbbell,-1.0327552131359106,1.0600181724854478,0.1416456003492126,"(0.414164290887518, 0.04081644141131446, 0.21488171210529272, 0.8835314414704517)",420000
93,bowl,triangular_prism,pyramid,triangular_prism,-1.022340419216223,0.13420009989851658,0.5872966566236328,"(0.47145207990182375, -0.05903988944395084, 0.4414677570543735, 0.7611527095741505)",420000
94,sphere,cone,pipe,cone,0.79601350083825,-0.3012968663669449,0.07903088997707104,"(0.3575480777749855, -0.2593407513472928, -0.2291381985699542, 0.8674084578364168)",420000
95,pipe,dumbbell,torus,dumbbell,-0.8045637378890261,-0.2193019599318257,0.7956958620976797,"(-0.3842806126229998, 0.2272735744676452, -0.05442248418571054, 0.8931479868005345)",420000
96,bowl,triangular_prism,torus,torus,-0.9909745227320458,0.7334232438794885,0.2573629538074045,"(0.25245613705488945, 0.24663778367421094, -0.37663416989753035, 0.8564942525161475)",420000
97,triangular_prism,cone,pentagon,pentagon,0.5894132864331847,0.5525106135238145,0.1292446898047964,"(-0.4200348973141786, 0.16690378200318426, 0.11689960719617193, 0.8843349447062927)",420000
98,torus,octahedron,bowl,bowl,0.2851339950726061,-1.0140640152957374,1.4309755299384517,"(0.16572929190273136, 0.3514799485776232, 0.18458505646365955, 0.9027314132584499)",420000
99,octahedron,sphere,pipe,sphere,0.5792585506519454,0.7681236683599161,0.3423318306405698,"(-0.10425941638972058, 0.26709809599990947, 0.2641509181134936, 0.9208761445857399)",420000
100,torus,dumbbell,cone,cone,0.5419772454852458,0.7668497519004536,0.0985907807480209,"(-0.31432405350544207, 0.19678000118917197, 0.19038896231761848, 0.9089719817175433)",420000
101,pyramid,sphere,triangular_prism,triangular_prism,0.8378834639687297,-0.3602358143799047,0.08023534684025767,"(0.20205315500542953, 0.139002694472466, -0.3383967172562861, 0.9084824903276427)",420000
102,bowl,triangular_prism,pyramid,pyramid,0.12174747205040407,-0.5349978954992661,1.4462533418423533,"(-0.1527766140514534, 0.29582245527585, -0.13483046201005194, 0.9332572676747269)",420100
103,bowl,triangular_prism,torus,triangular_prism,-0.32332249253528067,0.3079807741368626,0.5921058393491517,"(-0.12734236105113378, -0.2339498847745558, 0.14457518257968488, 0.9529687251310746)",420200
104,torus,octahedron,bowl,bowl,-0.35744510668109275,0.6730358558456742,1.2222052498626865,"(0.14744214889708085, -0.2571996000222504, -0.3268544828796325, 0.8973713420309863)",420300
105,pyramid,sphere,triangular_prism,sphere,0.552606084410904,-0.32714639381546495,0.14487722757639615,"(0.07890140327826893, 0.3459249370029699, 0.03388215804767568, 0.934324625537743)",420400
106,torus,octahedron,bowl,octahedron,-0.5491437771243599,0.08152068547739295,0.489452535821402,"(-0.2912902317017403, -0.026218880207239118, -0.43193937547298183, 0.8531652519599209)",420500
107,octahedron,sphere,pipe,sphere,-0.9810194689827633,-0.5706807608875679,0.5260203072718775,"(0.2650061900357117, 0.005933967153904797, -0.07772926103729526, 0.9610903543658986)",420600
108,dumbbell,octahedron,pentagon,octahedron,1.0040844969568081,-0.36766211924391184,0.3840827081390961,"(0.4604713396915947, -0.09319903216083596, 0.07045985629731016, 0.87995198413179)",420700
109,pentagon,sphere,bowl,bowl,0.8294117909202039,0.10761499315623443,0.27207474021309336,"(-0.1722082066507121, 0.12142436135255352, -0.3718991410366347, 0.904041750655623)",420800
110,pentagon,sphere,bowl,sphere,0.08225768101241301,-0.5793827866210202,1.388922997551557,"(-0.11565006254106837, -0.3883856370931522, 0.07618936953127829, 0.9110306470719959)",420900
111,pentagon,pyramid,pipe,pyramid,-0.8108831809893691,-0.9715143650651265,0.7680414063634615,"(-0.05913909617474813, -0.29246441469549794, -0.2928121529709146, 0.9084207045818536)",421000
112,sphere,cone,pipe,cone,-0.36237963341338636,-0.26796062722561426,0.49504298412289943,"(-0.40376567782602, -0.07224513742525197, 0.09276668591060226, 0.9072751840060791)",421100
113,pentagon,sphere,bowl,bowl,-0.7642880357875965,0.030860830490597797,0.5754908736731255,"(0.36452084430227144, -0.29386387473737063, -0.15815396822949115, 0.8693422223306326)",421200
114,dumbbell,octahedron,pentagon,octahedron,0.3305304856421727,-0.2988127564119757,0.10950080288191744,"(-0.3096005672389272, 0.33185347179178326, 0.06000621747874873, 0.8890556877321959)",421300
115,triangular_prism,cone,pentagon,cone,-0.80376960783899,-0.804080251809213,0.5830961188323792,"(-0.04632688750174703, -0.3617941777157464, -0.1577286626523667, 0.9176494218617932)",421400
116,octahedron,sphere,pipe,sphere,0.9985993971590672,1.011662781947831,0.31967126791276923,"(-0.11697667879739124, 0.02073114549953048, 0.22557875234125152, 0.9669544470738907)",421500
117,pyramid,dumbbell,torus,torus,-0.07715987566761816,-0.5929375903362519,1.1908382326998295,"(0.24529178401815419, -0.12852360548725816, 0.23065091640004495, 0.9327988948801162)",421600
118,torus,octahedron,bowl,octahedron,-1.000139962126114,-0.7332088642623235,0.3828577156131533,"(0.055040852890405306, 0.014709194171882801, 0.3969163487522447, 0.916084906661548)",421700
119,bowl,triangular_prism,torus,triangular_prism,-0.06245614935890556,-0.7595425397885436,1.240241640985872,"(-0.2606731683475188, 0.21484918818399165, -0.3211737548466419, 0.8847241066219769)",421800
120,sphere,pentagon,bowl,pentagon,0.5516178344714302,-0.33223704629380346,0.09813012618559706,"(0.12446450429057848, 0.37431016175032905, -0.21724005137517574, 0.8928646314311336)",421900
121,pyramid,dumbbell,torus,torus,-1.0027093848688842,0.24095638293095348,1.4582806288844314,"(-0.30461601982659814, 0.29754398332139226, 0.027514442080287988, 0.904389083266296)",422000
122,bowl,triangular_prism,pyramid,pyramid,0.7456833989803532,-0.5508900812841158,0.12130352127512052,"(0.1539816818648096, -0.06128126393116568, 0.2562976340755322, 0.9522845011383773)",422100
123,cone,sphere,triangular_prism,triangular_prism,0.7935287299940974,-0.05434178486079276,0.3208467944609836,"(0.08457334494478451, 0.470157612555613, -0.3503550464300169, 0.8056367110068143)",422200
124,octahedron,sphere,pipe,sphere,-0.8023257940578457,-0.09981767300508958,0.753641431857134,"(-0.04787960570301414, 0.10152496892691333, 0.3729991166612256, 0.9210167658691446)",422300
125,pentagon,sphere,bowl,bowl,-0.3665854301841755,-1.0457048425962143,1.3152112052962985,"(0.21544730600805448, -0.06826238868251368, 0.2750422622362296, 0.9344915508495549)",422400
126,torus,dumbbell,cone,dumbbell,-0.8084585856497619,0.3741855798837934,0.6143232425941014,"(0.07846373750722256, -0.12146692698692546, 0.06376842144514343, 0.9874324361550745)",422500
127,triangular_prism,cone,pentagon,cone,-0.534166344065691,0.5798556265425406,1.4044564478139847,"(0.07630307768269862, 0.04622423576142199, -0.05692838820554174, 0.9943843919635604)",422600
128,pipe,dumbbell,torus,dumbbell,0.1069413737692943,-0.7562021893584283,1.3857186108243733,"(-0.22847013802146854, 0.3995297260358207, 0.20792618529714188, 0.8631014398748109)",422700
129,dumbbell,pyramid,pipe,pipe,-0.10499031898293251,-0.1299917546293678,0.7183654800634972,"(-0.22002249752699538, -0.2612057970029105, 0.14331353721491102, 0.928882587976009)",422800
130,pyramid,dumbbell,torus,torus,-0.14615159160058633,0.9544537708674534,0.2646760541156806,"(0.1626157511482419, -0.15770349942779865, 0.19817294116363204, 0.9536315898381696)",422900
131,triangular_prism,dumbbell,bowl,bowl,0.28239604693581993,-0.6702715084258056,1.321999456026216,"(0.3126046987932195, 0.054813287696042746, -0.01501506355180849, 0.9481816037294156)",423000
132,dumbbell,pyramid,pipe,pipe,-0.5940046949817974,0.7790755230561812,1.4251791168828285,"(0.0013810104202054319, 0.24054455187251633, -0.05915342644255853, 0.9688329492305546)",423100
133,pentagon,pyramid,pipe,pipe,0.5440325248138006,-0.5389698934461853,0.10704793430189867,"(-0.08823847919713385, 0.12190313863725474, 0.2639401792991488, 0.9527272313369113)",423200
