SID,exclude,age_rounded,age_group,number_stack,height_tallest,height_stack2,height_stack3,numadjacent_nonstack1,numadjacent_nonstack1,base_tallest,top_tallest,base_2,tallest_objects,stack2_object,stack3_objects,adjacent_objects1,adjacent_objects2,leaning1,leaning2,notes
191206_01,Y,3.31,3,1,2,,,,,bowl,,"bowl, octahedron","bowl, octahedron",,,,,,,
191206_02,Y,4.03,4,1,3,,,,,pipe,,"pipe, pentagon","pipe, pentagon, cone",,,,,,,
191206_03,Y,4.56,4,1,3,,,6,,octahedron,,"octahedron, pentagon","octahedron, pentagon, bowl",,,"dumbbell, torus, trig prism, octahedron, pentagon, bowl",,torus,,
191206_04,Y,4.61,4,3,3,2,2,,,bowl,,"bowl, torus","bowl, torus, dumbbell","cone, pipe","trig prism+pyramid, pengaton",,,,,
191206_05,Y,2.87,2,2,5,2,,,,bowl,,"bowl, torus","bowl, torus, cone, pipe, trig prism","pentagon, pyramid",,,,,,
191206_06,Y,3.18,3,1,2,,,,,torus,,"torus, pentagon","torus, pentagon",,,,,,,
191206_07,Y,5.49,5,1,5,,,,,pentagon,,"pentagon, pipe","pentagon, pipe, pyramid, trig prism, cone",,,,,,,
191206_08,Y,3.82,3,2,3,2,,,8,torus,,"torus, pipe","torus, pipe, trig prism","pentagon, pyramid",,"octahedron, bowl, torus, pipe, trig prism, dumbbell, pentagon, pyramid",,,,adjacent all in line intentional
121119_01,,3.4,3,1,4,,,,,pipe,,"pipe, torus","pipe, torus, pyramid, bowl",,,,,,,
121119_02,,4.13,4,3,2,2,2,,,pentagon,,"pentagon, pyramid","pentagon, pyramid","pipe, octahedron","cone, bowl",,,,,
121119_03,,3.3,3,1,5,,,,,pipe,,"pipe, octahedron","pipe, octahedron, cone, torus, bowl",,,,,,,
121119_04,,5.44,5,2,3,2,,2,,octahedron,,"octahedron, torus","octahedron, torus, bowl",,,"pyramid, trig prism, pentagon",,pyramid,,
121119_05,,2.71,2,1,3,,,,,torus,,"torus, pipe","torus, pipe, cone",,,,,,,
121119_06,,3.63,3,0,,,,2,,,,,,,,"torus, bowl",,torus,,
121119_07,,3.98,3,1,3,,,,,cone,,"cone, pipe","cone, pipe, bowl",,,,,,,
121119_08,,3.61,3,2,3,2,,4,,bowl,,"bowl, pyramid","bowl, pyramid, cone","pentagon+pipe, trig prism",,"torus, bowl, pyramid, cone",,torus,,
121119_09,,5.81,5,1,6,,,,,pipe,,"pipe, pentagon","pipe, pentagon, cone, torus, bowl, pyramid",,,,,,,
121119_10,,5.12,5,1,5,,,,,torus,,"torus, cone","torus, cone, pipe, pentagon, trig prism",,,,,,,
121119_11,,3.48,3,2,3,2,,,,pipe,,"pipe, pentagon","pipe, pentagon, cone, torus, bowl, pyramid",,,,,,,
121119_12,,4.66,4,1,5,,,,,pentagon,,"pentagon, cone","pentagon, cone, bowl, torus, dumbbell",,,,,,,
121119_13,,4.59,4,1,4,,,,,pentagon,,"pentagon, trig prism","pentagon, trig prism, torus, pyramid",,,,,,,
121219_01,,,,,,,,,,,,,,,,,,,,
121219_02,,3.05,3,2,2,2,,2,,pipe,,"pipe, octahedron","pipe, octahedron","torus, cone",,"bowl, trig prism",,trig prism,,built cool tower inside pool 
121219_03,,3.45,3,1,3,,,,,pentagon,,"pentagon, pipe","pentagon, pipe, cone",,,,,,,
121219_04,,6.8,6,1,5,,,,,pentagon,,"pentagon, pipe","pentagon, pipe, torus, bowl, cone",,,,,,,
121319_01,,4.51,4,2,2,2,,,,torus,,"torus, bowl","torus, bowl","pipe, pyramid",,,,,,
121319_02,,5.25,5,3,4,2,2,,,pipe,,"pipe, torus","pipe, torus, bowl, pyramid","octahedron, cone","trig prism, dumbbell",,,,,"stacks 2 and 3 adjacent, dumbbell is resting on both stacks"
121319_03,,5.7,5,3,4,2,2,7,,pipe,,"pipe, pentagon","pipe, pentagon, torus, bowl","octahedron, pyramid","trig prism, cone","dumbbell, octahedron, pyramid, pipe, pentagon, torus, bowl",,dumbbell,,
121319_04,,4.99,4,2,4,2,,,,pipe,,"pipe, torus","pipe, torus, bowl, dumbbell","pentagon, pyramid",,,,,,
121319_05,,2.56,2,0,,,,3,,,,,,,,"bowl, pyramid, pentagon",,bowl,,
121319_06,,2.68,2,0,,,,2,,,,,,,,"pentagon, pyramid",,pyramid,,
121319_07,,2.8,2,1,3,,,,,torus,,"torus, pipe","torus, pipe, dumbbell",,,,,,,
121619_01,,4.93,4,2,2,2,,4,,pentagon,,"pentagon, cone","pentagon, cone","bowl, dumbbell",,"trig prism, octahedron, bowl, dumbbell",,trig prism,,
121619_02,,4.12,4,0,,,,4,,,,,,,,"pyramid, pipe, trig prism, cone",,"pyramid, pipe, cone",,
121619_03,,3.82,3,1,2,,,,,pentagon+octahedron,,"pentagon+octahedron, trig prism","pentagon+octahedron, trig prism",,,"dumbbell, cone, torus, bowl",,"dumbbell, cone, torus",,
121619_04,,4.13,4,3,2,2,2,,,torus,,"torus, bowl","torus, bowl","pipe, cone","pentagon, pyramid",,,,,
121619_05,,4.5,4,1,6,,,,,pipe,,"pipe, torus","pipe, torus, bowl, pentagon, octahedron, pyramid",,,,,,,
121619_06,,4,3,1,3,,,,,pentagon,,"pentagon, pipe","pentagon, pipe, torus",,,,,,,
121619_07,,6.22,6,2,4,2,,,,pentagon,,"pentagon, torus","pentagon, torus, pipe, trig prism","pyramid, bowl",,,,,,
121619_08,Y,3.7,3,1,7,,,,,torus,,"torus, trig prism","torus, trig prism, pentagon, pyramid, torus, octahedron, bowl",,,,,,,"got some help with balancing, bc was getting stressed"
121619_09,,5.67,5,1,3,,,2,,torus,,"torus, cone","torus, cone, bowl",,,"dumbbell, pyramid",,pyramid,,check if adjacent is intentional from video
121619_10,Y,3.94,3,1,4,,,2,,cone,,"cone, torus","cone, torus, bowl, pentagon",,,"trig prism, octahedron",,trig prism,,"got some help with balancing, bc was getting stressed"
121619_11,,5.47,5,1,3,,,,,pipe,,"pipe, torus","pipe, torus, dumbbell",,,,,,,
121619_12,,2.91,2,1,4,,,,,bowl,,"bowl, pipe","bowl, pipe, torus, cone",,,,,,,
121719_01,,3.87,3,1,4,,,,,pipe,,"pipe, torus","pipe, torus, pentagon, trig prism",,,,,,,
121719_02,,3.91,3,1,5,,,,,pentagon,,"pentagon, bowl","pentagon, bowl, pipe, torus, pyramid",,,,,,,
121719_03,,3.91,3,3,2,2,2,,,trig prism,,"trig prism, pyramid","trig prism, pyramid","pentagon, cone","pipe, torus",,,,,
121719_04,,4.75,4,2,4,2,,3,2,pipe,,"pipe, torus","pipe, torus, cone, pentagon","dumbbell, trig prism",,"pyramid, dumbbell, trig prism","octahedron, bowl",pyramid,bowl,"pyramid is leaning on stack2, helping keep trig prism on dumbbell"
121719_05,,5.76,5,1,5,,,,,torus,,"torus, pipe","torus, pipe, pentagon, bowl, cone",,,,,,,
121719_06,,5.74,5,2,3,2,,,,octahedron,,"octahedron, pipe","octahedron, pipe, dumbbell","cone, torus",,,,,,
121819_01,,4.74,4,3,2,2,,,,torus,,"torus, pipe","torus, pipe, dumbbell","pentagon, pyramid","octahedron+trig prism, cone",,,,,
121819_02,,4.02,4,2,4,2,,3,,cone,,"cone, torus","cone, torus, pipe, octahedron","pentagon, pyramid",,"dumbbell, bowl, trig prism",,dumbbell,,
121819_03,,3.88,3,1,3,,,,,pipe,,"pipe, bowl","pipe, bowl, cone",,,,,,,
121819_04,,3.67,3,1,2,,,4,,pipe,,"pipe, trig prism","pipe, trig prism",,,"dumbbell, torus, pipe, trig prism",,dumbbell,torus,
121819_05,,4.93,4,1,2,,,,,pipe,,"pipe, cone","pipe, cone",,,,,,,
121819_06,,3.14,3,1,4,,,,,torus,,"torus, pipe","torus, pipe, cone, bowl",,,,,,,
121819_07,,5.11,5,1,6,,,,,torus,,"torus, bowl","torus, bowl, pipe, pentagon, trig prism, cone",,,,,,,
121819_08,,4.38,4,1,2,,,,,bowl,,"bowl, cone","bowl, cone",,,,,,,
121919_01,,3.16,3,3,2,2,2,,,trig prism,,"trig prism, pentagon","trig prism, pentagon","pipe, bowl","torus, cone",,,,,
121919_02,,2.97,2,1,3,,,,,octahedron,,"octahedron, bowl","octahedron, bowl, dumbbell",,,,,,,
121919_03,,4.34,4,2,3,2,,,,pentagon,,"pentagon, pipe","pentagon, pipe, trig prism","octahedron, cone",,,,,,